Worth,Age,Income Source,Residence,Citizenship,Marital Status,Children,Education
$2.3B,91,tractors,"Delhi, India",India,Married,5,"Bachelor of Arts/Science, Punjab University; Master of Arts, Punjab University"
$2.9B,86,biscuits,"Mumbai, India",India,"Bachelor of Arts/Science, Massachusetts Institute of Technology",,
$2.89B,tractors,"Chennai, India",India,,,,
$2.85B,footwear,"Delhi, India",India,,,,
$2.82B,pharmaceuticals,"Mumbai, India",India,,,,
$3.5B,52,real estate,"Mumbai, India",India,Married,2,"Bachelor of Arts/Science, University of Mumbai"
$2.3B,68,"software services, Self Made","Bangalore, India",India,Married,2,"Master of Science, Bangalore University"
$2.5B,57,"media, Self Made","Chennai, India",India,Married,1,"Master of Business Administration, University of Scranton"
$2.73B,64,"infrastructure, Self Made","Hyderabad, India",India,,,
$2.4B,61,diversified,"Kolkata, India",India,Married,2,"Bachelor of Arts/Science, Calcutta University"
$2.7B,60,"auto parts, Self Made","Aurangabad, India",India,Married,2,"Master of Business Administration, University of Pittsburgh"
$2.3B,68,diversified,"Mumbai, India",India,Married,2,"Bachelor of Arts/Science, University of Mumbai"
$2.1B,50,"consumer goods, Self Made","Haridwar, India",India,Single,,
$2.63B,68,garments,"Bangalore, India",United Kingdom,Married,"Master of Science, De La Salle University",
$2B,64,diversified,"Mumbai, India",India,Married,2,"Bachelor of Arts/Science, Calcutta University; Master of Business Administration, International Institute for Management and Development"
$2.59B,"financial services, Self Made","Bangalore, India",India,,,,
$1.5B,73,medical diagnostics,"Delhi, India",India,Married,2,
$2.2B,90,"healthcare, Self Made","Chennai, India",India,Married,4,
$2.6B,69,"construction, Self Made","Dubai, United Arab Emirates",India,Married,2,
$1.6B,64,"pharmaceuticals, Self Made","Hyderabad, India",India,Married,2,
$1.9B,56,real estate,"Bangalore, India",India,Married,4,"Bachelor of Commerce, Bangalore University"
$1.1B,44,"financial technology, Self Made","Delhi, India",India,Married,1,"Bachelor of Science in Engineering, Delhi University"
$2.3B,70,"specialty chemicals, Self Made","Pune, India",India,Married,2,"Bachelor of Science in Engineering, Mumbai University"
$2.25B,pharmaceuticals,"Bangalore, India",India,,,,
$1.9B,67,"software services, Self Made","Bangalore, India",India,Married,2,"Master of Science, Boston University"
$2.1B,"chemicals, Self Made","Mumbai, India",India,"Bachelor of Science in Engineering, University of Mumbai",,,
$2.05B,65,chemicals,"Vadodara, India",India,Married,2,"Bachelor of Science, University of Mumbai"
$2.2B,70,"chemicals, Self Made","Mumbai, India",India,Married,2,"Master of Business Administration, Birla Institute of Technology and Science (BITS) - Pilani"
$1.95B,88,plastics,"Mumbai, India",India,,,
$1.4B,73,"specialty chemicals, Self Made","Mumbai, India",India,Married,"Bachelor of Engineering, Mumbai University; Master of Science in Engineering, University of Massachusetts",
