Rank,Name,Age,Net_Worth,Income Source,Residence,Citizenship,Marital Status,Children,Education,Image,Profile Link
81 ,Anurang Jain,60,$2.7B,"auto parts, Self Made","Aurangabad, India",India,Married,2,"Master of Business Administration, University of Pittsburgh",https://specials-images.forbesimg.com/imageserve/5c80010531358e35dd28300b/832x832.jpg?background=000000&cropX1=242&cropX2=552&cropY1=58&cropY2=368,https://www.forbes.com//profile/anurang-jain/?list=india-billionaires
82 ,Rajan Raheja,68,$2.3B,diversified,"Mumbai, India",India,Married,2,"Bachelor of Arts/Science, University of Mumbai",https://specials-images.forbesimg.com/imageserve/58a2210fa7ea431f32196fe6/832x832.jpg?background=000000&cropX1=3&cropX2=724&cropY1=169&cropY2=891,https://www.forbes.com//profile/rajan-raheja/?list=india-billionaires
83 ,Acharya Balkrishna,50,$2.1B,"consumer goods, Self Made","Haridwar, India",India,Single,,,https://specials-images.forbesimg.com/imageserve/5bad43e14bbe6f1f844e9b1c/832x832.jpg?background=000000&cropX1=985&cropX2=2810&cropY1=0&cropY2=1825,https://www.forbes.com//profile/acharya-balkrishna/?list=india-billionaires
84 ,Sunder Genomal,68,$2.63B,garments,"Bangalore, India",United Kingdom,Married,"Master of Science, De La Salle University",,https://specials-images.forbesimg.com/imageserve/5bad508831358e4b20808598/832x832.jpg?background=000000&cropX1=140&cropX2=879&cropY1=135&cropY2=874,https://www.forbes.com//profile/sunder-genomal/?list=india-billionaires
85 ,Harsh Goenka,64,$2B,diversified,"Mumbai, India",India,Married,2,"Bachelor of Arts/Science, Calcutta University; Master of Business Administration, International Institute for Management and Development",https://specials-images.forbesimg.com/imageserve/57d88fc5a7ea430a8a19de14/832x832.jpg?background=000000&cropX1=71&cropX2=491&cropY1=243&cropY2=664,https://www.forbes.com//profile/harsh-goenka/?list=india-billionaires
86 ,Nithin and Nikhil Kamath,"financial services, Self Made",$2.59B,"Bangalore, India",India,,,,,https://specials-images.forbesimg.com/imageserve/615b2dcd2cb12d2415f49baa/832x832.jpg?background=000000&cropX1=603&cropX2=1275&cropY1=129&cropY2=801,https://www.forbes.com//profile/nithin-and-nikhil-kamath/?list=india-billionaires
87 ,Arvind Lal,73,$1.5B,medical diagnostics,"Delhi, India",India,Married,2,,https://specials-images.forbesimg.com/imageserve/615b2e721e985ac48d218a18/832x832.jpg?background=000000&cropX1=349&cropX2=1232&cropY1=123&cropY2=1006,https://www.forbes.com//profile/arvind-lal/?list=india-billionaires
88 ,Prathap Reddy,90,$2.2B,"healthcare, Self Made","Chennai, India",India,Married,4,,https://specials-images.forbesimg.com/imageserve/615b2f37b4c0fe4b4b79c04a/832x832.jpg?background=000000&cropX1=608&cropX2=1064&cropY1=50&cropY2=506,https://www.forbes.com//profile/prathap-reddy/?list=india-billionaires
89 ,Ravi Pillai,69,$2.6B,"construction, Self Made","Dubai, United Arab Emirates",India,Married,2,,https://specials-images.forbesimg.com/imageserve/615b2fcf94e5e17a6379c049/832x832.jpg?background=000000&cropX1=66&cropX2=744&cropY1=66&cropY2=744,https://www.forbes.com//profile/ravi-pillai/?list=india-billionaires
90 ,P.V. Ramprasad Reddy,64,$1.6B,"pharmaceuticals, Self Made","Hyderabad, India",India,Married,2,,https://specials-images.forbesimg.com/imageserve/6050f48ca1ab099ed6e290cc/832x832.jpg?background=000000&cropX1=0&cropX2=800&cropY1=0&cropY2=800,https://www.forbes.com//profile/pv-ramprasad-reddy/?list=india-billionaires
91 ,Jitendra Virwani,56,$1.9B,real estate,"Bangalore, India",India,Married,4,"Bachelor of Commerce, Bangalore University",https://specials-images.forbesimg.com/imageserve/60c0c5b20b71ef1c59aee4a6/832x832.jpg?background=000000&cropX1=71&cropX2=607&cropY1=260&cropY2=797,https://www.forbes.com//profile/jitendra-virwani/?list=india-billionaires
92 ,Vijay Shekhar Sharma,44,$1.1B,"financial technology, Self Made","Delhi, India",India,Married,1,"Bachelor of Science in Engineering, Delhi University",https://specials-images.forbesimg.com/imageserve/615b302450df12838dfe0d8b/832x832.jpg?background=000000&cropX1=1175&cropX2=3771&cropY1=94&cropY2=2688,https://www.forbes.com//profile/vijay-shekhar-sharma/?list=india-billionaires
93 ,Ashok Boob,70,$2.3B,"specialty chemicals, Self Made","Pune, India",India,Married,2,"Bachelor of Science in Engineering, Mumbai University",https://specials-images.forbesimg.com/imageserve/615b30b2e00d8cb2c079c04a/832x832.jpg?background=000000&cropX1=1033&cropX2=2493&cropY1=62&cropY2=1523,https://www.forbes.com//profile/ashok-boob/?list=india-billionaires
94 ,Dilip & Anand Surana,pharmaceuticals,$2.25B,"Bangalore, India",India,,,,,https://specials-images.forbesimg.com/imageserve/f05487ee90eaf9c8ded1b8140ef9a3ae/832x832.jpg?background=000000&cropX1=45&cropX2=699&cropY1=13&cropY2=667,https://www.forbes.com//profile/dilip-anand-surana/?list=india-billionaires
95 ,S.D. Shibulal,67,$1.9B,"software services, Self Made","Bangalore, India",India,Married,2,"Master of Science, Boston University",https://specials-images.forbesimg.com/imageserve/5e76a8df10380d0006fbb6e9/832x832.jpg?background=000000&cropX1=691&cropX2=2982&cropY1=377&cropY2=2666,https://www.forbes.com//profile/sd-shibulal/?list=india-billionaires
96 ,Chandrakant & Rajendra Gogri,"chemicals, Self Made",$2.1B,"Mumbai, India",India,"Bachelor of Science in Engineering, University of Mumbai",,,,https://specials-images.forbesimg.com/imageserve/615b3166f0fc4b8308c57d55/832x832.jpg?background=000000&cropX1=517&cropX2=1893&cropY1=134&cropY2=1511,https://www.forbes.com//profile/chandrakant-rajendra-gogri/?list=india-billionaires
97 ,Deepak Mehta,65,$2.05B,chemicals,"Vadodara, India",India,Married,2,"Bachelor of Science, University of Mumbai",https://specials-images.forbesimg.com/imageserve/602d7f59393a1065d8a2046a/832x832.jpg?background=000000&cropX1=499&cropX2=2549&cropY1=153&cropY2=2204,https://www.forbes.com//profile/deepak-mehta-1/?list=india-billionaires
98 ,Vinod Saraf,70,$2.2B,"chemicals, Self Made","Mumbai, India",India,Married,2,"Master of Business Administration, Birla Institute of Technology and Science (BITS) - Pilani",https://specials-images.forbesimg.com/imageserve/5f7b7155a2e7e6ce8c99bc10/832x832.jpg?background=000000&cropX1=265&cropX2=631&cropY1=72&cropY2=438,https://www.forbes.com//profile/vinod-saraf/?list=india-billionaires
99 ,Bajranglal Taparia,88,$1.95B,plastics,"Mumbai, India",India,,,,https://specials-images.forbesimg.com/imageserve/615b57869354fb2aac06abcf/832x832.jpg?background=000000&cropX1=133&cropX2=992&cropY1=101&cropY2=960,https://www.forbes.com//profile/bajranglal-taparia/?list=india-billionaires
100 ,Yogesh Kothari,73,$1.4B,"specialty chemicals, Self Made","Mumbai, India",India,Married,"Bachelor of Engineering, Mumbai University; Master of Science in Engineering, University of Massachusetts",,https://specials-images.forbesimg.com/imageserve/615e14b94234caafdd878539/832x832.jpg?background=000000&cropX1=0&cropX2=3171&cropY1=90&cropY2=3261,https://www.forbes.com//profile/yogesh-kothari/?list=india-billionaires
