Rank,Name,Age,Net_Worth,Income Source,Residence,Citizenship,Marital Status,Children,Education,Image,Profile Link
19 ,Murali Divi,71,$6.4B,"pharmaceuticals, Self Made","Hyderabad, India",India,Married,2,,https://specials-images.forbesimg.com/imageserve/5c79ad2d31358e35dd27cd1a/832x832.jpg?background=000000&cropX1=1161&cropX2=2628&cropY1=804&cropY2=2271,https://www.forbes.com//profile/murali-divi/?list=india-billionaires
20 ,Benu Gopal Bangur,91,$7.1B,cement,"Kolkata, India",India,Widowed,2,"Bachelor of Arts/Science, Calcutta University",https://specials-images.forbesimg.com/imageserve/a2452fb4fb9048a14be1e743af0f06bc/832x832.jpg?background=000000&cropX1=24&cropX2=721&cropY1=0&cropY2=698,https://www.forbes.com//profile/benu-gopal-bangur/?list=india-billionaires
21 ,Kuldip Singh & Gurbachan Singh Dhingra,"paints, Self Made",$9.4B,"Delhi, India",India,Married,"Bachelor of Arts/Science, Delhi University",,,https://specials-images.forbesimg.com/imageserve/9d847c68baaab474610d6f09e72d3aff/832x832.jpg?background=000000&cropX1=0&cropX2=744&cropY1=300&cropY2=1044,https://www.forbes.com//profile/kuldip-singh-gurbachan-singh-dhingra/?list=india-billionaires
22 ,Ashwin Dani,79,$8.6B,paints,"Mumbai, India",India,Married,3,"Master of Science, University of Akron; Bachelor of Arts/Science, University of Mumbai",https://specials-images.forbesimg.com/imageserve/5d9f4aba793bd50006ea41fc/832x832.jpg?background=000000&cropX1=11&cropX2=1246&cropY1=16&cropY2=1252,https://www.forbes.com//profile/ashwin-dani/?list=india-billionaires
23 ,Kushal Pal Singh,91,$9.5B,real estate,"Delhi, India",India,Widowed,3,"Bachelor of Arts/Science, Delhi University",https://specials-images.forbesimg.com/imageserve/56ca6a42e4b062f6b59a3447/832x832.jpg?background=000000&cropX1=8&cropX2=744&cropY1=232&cropY2=968,https://www.forbes.com//profile/kushal-pal-singh/?list=india-billionaires
24 ,Vinod & Anil Rai Gupta,electrical equipment,$7.6B,"Delhi, India",India,,,,,https://specials-images.forbesimg.com/imageserve/6157595ff27ca15790ca2f35/832x832.jpg?background=000000&cropX1=1020&cropX2=2922&cropY1=24&cropY2=1926,https://www.forbes.com//profile/vinod-anil-rai-gupta-1/?list=india-billionaires
25 ,Sudhir & Samir Mehta,"pharmaceuticals, power",$7.1B,"Ahmedabad, India",India,"Bachelor of Arts/Science, Gujarat University",,,,https://specials-images.forbesimg.com/imageserve/5abba482a7ea432fbc1d5d2a/832x832.jpg?background=000000&cropX1=1748&cropX2=4571&cropY1=233&cropY2=3058,https://www.forbes.com//profile/sudhir-samir-mehta/?list=india-billionaires
26 ,Mahendra Choksi,81,$6.7B,paints,"Mumbai, India",India,Married,2,"Bachelor of Engineering, University of Mumbai; Master of Science, University of Mumbai",https://specials-images.forbesimg.com/imageserve/61575ab3ecee9a05d3ca2f37/832x832.jpg?background=000000&cropX1=0&cropX2=2472&cropY1=160&cropY2=2633,https://www.forbes.com//profile/mahendra-choksi/?list=india-billionaires
27 ,Hasmukh Chudgar,88,$6.5B,"pharmaceuticals, Self Made","Ahmedabad, India",India,Married,3,,https://specials-images.forbesimg.com/imageserve/6050f48ca1ab099ed6e290cc/832x832.jpg?background=000000&cropX1=0&cropX2=800&cropY1=0&cropY2=800,https://www.forbes.com//profile/hasmukh-chudgar/?list=india-billionaires
28 ,"Girdhari Lal Bawri, Rajendra Agarwal and Banwari Lal Bawri","pharmaceuticals, Self Made",$6.5B,"Mumbai, India",India,,,,,https://specials-images.forbesimg.com/imageserve/61576134e624cb8ac233bc40/832x832.jpg?background=000000&cropX1=49&cropX2=1058&cropY1=94&cropY2=1103,https://www.forbes.com//profile/girdhari-lal-bawri-rajendra-agarwal-and-banwari-lal-bawri/?list=india-billionaires
29 ,Muthoot family,financial services,$6.4B,"Delhi, India",India,,,,,https://specials-images.forbesimg.com/imageserve/61575d417f2b1a244eca2f35/832x832.jpg?background=000000&cropX1=1251&cropX2=5760&cropY1=0&cropY2=4506,https://www.forbes.com//profile/muthoot/?list=india-billionaires
30 ,Harsh Mariwala,71,$6.3B,consumer goods,"Mumbai, India",India,Married,2,,https://specials-images.forbesimg.com/imageserve/6157627b3715ab13d933bc40/832x832.jpg?background=000000&cropX1=0&cropX2=1367&cropY1=205&cropY2=1571,https://www.forbes.com//profile/harsh-mariwala-1/?list=india-billionaires
31 ,Abhay Vakil,paints,$6.25B,India,3,"Bachelor of Arts/Science, Syracuse University; Bachelor of Arts/Science, University of Mumbai",,,,https://specials-images.forbesimg.com/imageserve/6157635dd988af4f81235c55/832x832.jpg?background=000000&cropX1=0&cropX2=1967&cropY1=284&cropY2=2252,https://www.forbes.com//profile/abhay-vakil/?list=india-billionaires
