Company,Title,Role,Experience,Real Salary,Expected Salary,Education,Company Rating,Reviews of Company,Location,Skills,Link,Review Page of Company
TATA CONSULTANCY SERVICES (TCS),Data Scientist with Payments,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",4-9 Yrs ,Not disclosed,Avg. Salary - ₹7.5 Lakhs,UG :Any Graduate,,(45909 Reviews),"Kolkata, Chennai, Mumbai (All Areas)",pythonmachine learningcommunicationSLQIT SkillsTestingartificial neural networkspayment processing,https://www.naukri.com/job-listings-data-scientist-with-payments-tata-consultancy-services-ltd-kolkata-chennai-mumbai-all-areas-4-to-9-years-040822009909,https://www.ambitionbox.com/reviews/tcs-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
GEP,Data Scientist / Sr Data Scientist,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",2-7 Yrs ,Not disclosed,Avg. Salary - ₹24.4 Lakhs,UG :Any Graduate,,(456 Reviews),"Hyderabad/Secunderabad, Mumbai (All Areas)",Machine LearningPythonSparkMLHBaseKerasApacheSparkR,https://www.naukri.com/job-listings-data-scientist-sr-data-scientist-gep-solutions-pvt-ltd-hyderabad-secunderabad-mumbai-all-areas-2-to-7-years-180822008018,https://www.ambitionbox.com/reviews/gep-worldwide-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Mindtree,Data Scientist / Senior Data Scientist,,7-12 Yrs ,Not disclosed,,,,(3482 Reviews),"Pune, Chennai, Bangalore/Bengaluru",deep learningpythonCloud Servicescomputer visionAzurepresentationRDBMSSVN,https://www.naukri.com/job-listings-data-scientist-senior-data-scientist-mindtree-limited-pune-chennai-bangalore-bengaluru-7-to-12-years-220822007029,https://www.ambitionbox.com/reviews/mindtree-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Morningstar,Senior Data Scientist,"['RoleData Scientist', 'Industry TypeFinancial Services', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",3-5 Yrs ,Not disclosed,Avg. Salary - ₹19.6 Lakhs,UG :B.Tech/B.E. in Any SpecializationPG :Any Postgraduate,,(410 Reviews),Mumbai,MS SQLXMLArtificial IntelligenceMachine learningAgileData collectiontest driven developmentDownstream,https://www.naukri.com/job-listings-senior-data-scientist-morningstar-india-p-ltd-mumbai-3-to-5-years-190822502167,https://www.ambitionbox.com/reviews/morningstar-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Morningstar,Lead Data Scientist,"['RoleData Scientist', 'Industry TypeFinancial Services', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",6-8 Yrs ,Not disclosed,Avg. Salary - ₹23.1 Lakhs,UG :B.Tech/B.E. in Any SpecializationPG :Any Postgraduate,,(410 Reviews),Mumbai,PrototypeTeam managementXMLArtificial IntelligenceAgileData structuresDownstreamSQL,https://www.naukri.com/job-listings-lead-data-scientist-morningstar-india-p-ltd-mumbai-6-to-8-years-190822502166,https://www.ambitionbox.com/reviews/morningstar-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Pfizer,Senior Manager Data Science,"['RoleData Scientist', 'Industry TypeEngineering & Construction', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",6-11 Yrs ,Not disclosed,,UG :Any GraduatePG :Any Postgraduate,,(4807 Reviews),Mumbai,Qualitative researchBusiness administrationBusiness transformationdata scienceBusiness analyticsAnalyticalBrand marketingMachine learning,https://www.naukri.com/job-listings-senior-manager-data-science-pfizer-limited-mumbai-6-to-11-years-180822503336,https://www.ambitionbox.com/reviews/pfizer-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
General Mills,Data Scientist II,"['RoleData Scientist', 'Industry TypeFMCG', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",3-8 Yrs ,Not disclosed,Avg. Salary - ₹17.1 Lakhs,UG :Any GraduatePG :Any Postgraduate,,(457 Reviews),Mumbai,Supply chainCloud computingGCPAnalyticalMarket intelligenceenterprise businessConsumer insightsApplication development,https://www.naukri.com/job-listings-data-scientist-ii-general-mills-inc-mumbai-3-to-8-years-170822502883,https://www.ambitionbox.com/reviews/general-mills-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Hexaware Technologies,Python/PySpark Engineer (Azure),,"10,00,000 - 20,00,000 PA. ","10,00,000 - 20,00,000 PA.",,,,(2946 Reviews),"Pune, Chennai, Mumbai (All Areas)(WFH during Covid)",PysparkAzurePythonSQL,https://www.naukri.com/job-listings-python-pyspark-engineer-azure-hexaware-technologies-ltd-pune-chennai-mumbai-all-areas-5-to-10-years-020822009516,https://www.ambitionbox.com/reviews/hexaware-technologies-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Accenture,Team Lead/Consultant-Data Science,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",7-11 Yrs ,Not disclosed,Avg. Salary - ₹17.4 Lakhs,UG :B.Tech/B.E.PG :Post Graduation Not Required,,(30728 Reviews),Mumbai,PublishingConsultingData miningAnalyticsSQLIT SkillsPythonData Science,https://www.naukri.com/job-listings-team-lead-consultant-data-science-accenture-solutions-pvt-ltd-mumbai-7-to-11-years-160822910050,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Accenture,ACN - Applied Intelligence - C4DI - Sustainability - 09,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",4-6 Yrs ,Not disclosed,,"UG :Any GraduatePG :MS/M.Sc(Science), MBA/PGDM",,(30728 Reviews),Bangalore/Bengaluru,Business processData managementConsultingOracleBusiness operationsIT SkillsData ScienceMachine Learning,https://www.naukri.com/job-listings-acn-applied-intelligence-c4di-sustainability-09-accenture-solutions-pvt-ltd-bangalore-bengaluru-4-to-6-years-240822901582,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
