Expected Average Salary,Role,Education
Avg. Salary - ₹21.6 Lakhs,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any Graduate
,"['RoleData Scientist', 'Industry TypeSoftware Product', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']","UG :B.Tech/B.E. in Any SpecializationPG :MCA in Any Specialization, M.Tech in Any Specialization"
Avg. Salary - ₹27.6 Lakhs,"['RoleData Scientist', 'Industry TypePower', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any GraduatePG :Any Postgraduate
,"['RoleData Scientist', 'Industry TypeFinTech / Payments', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any GraduatePG :Any Postgraduate
Avg. Salary - ₹24.4 Lakhs,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any Graduate
,,
Avg. Salary - ₹11.6 Lakhs,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :B.Tech/B.E. in Any Specialization
,"['RoleData Scientist', 'Industry TypeElectronic Components / Semiconductors', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']","UG :Any GraduatePG :M.Tech in Computers, Electrical, MS/M.Sc(Science) in Electrical Engineering, Computers, MCA in Computers, MCM in Computers and ManagementDoctorate :Ph.D/Doctorate in Any Specialization"
Avg. Salary - ₹16.5 Lakhs,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any Graduate
Avg. Salary - ₹11.5 Lakhs,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :B.Tech/B.E. in Any Specialization
Avg. Salary - ₹19.6 Lakhs,"['RoleData Scientist', 'Industry TypeFinancial Services', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :B.Tech/B.E. in Any SpecializationPG :Any Postgraduate
Avg. Salary - ₹23.1 Lakhs,"['RoleData Scientist', 'Industry TypeFinancial Services', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :B.Tech/B.E. in Any SpecializationPG :Any Postgraduate
,"['RoleData Scientist', 'Industry TypeEngineering & Construction', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any GraduatePG :Any Postgraduate
Avg. Salary - ₹7.5 Lakhs,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any Graduate
Avg. Salary - ₹20.8 Lakhs,"['RoleData Scientist', 'Industry TypePorts & Shipping', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']","UG :B.Sc in Any Specialization, B.Tech/B.E. in Any Specialization"
Avg. Salary - ₹66.5 Lakhs,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any GraduatePG :Any Postgraduate
Avg. Salary - ₹43.7 Lakhs,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any GraduatePG :Any Postgraduate
,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",UG :Any GraduatePG :Any Postgraduate
Avg. Salary - ₹9.8 Lakhs,"['RoleData Scientist', 'Industry TypeAnalytics / KPO / Research', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']","UG :B.Tech/B.E. in Any Specialization, B.Sc in Maths, StatisticsPG :M.A in Statistics, MS/M.Sc(Science) in Maths, StatisticsDoctorate :Ph.D/Doctorate in Statistics"
